,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,11/3/95,,CHH,W,105,91,,43,86,0.5,4,11,0.364,39,75,0.52,0.523,15,23,0.652,15,27,42,29,10,3,13,27,36,77,0.468,3,11,0.273,33,66,0.5,0.487,16,25,0.64,14,29,43,14,8,4,19,22
2,2,11/4/95,,BOS,W,107,85,,43,88,0.489,4,11,0.364,39,77,0.506,0.511,17,25,0.68,12,33,45,30,12,7,17,31,29,71,0.408,2,9,0.222,27,62,0.435,0.423,25,43,0.581,11,33,44,17,7,4,25,24
3,3,11/7/95,,TOR,W,117,108,,44,80,0.55,7,14,0.5,37,66,0.561,0.594,22,29,0.759,8,24,32,28,13,3,14,26,37,69,0.536,4,13,0.308,33,56,0.589,0.565,30,37,0.811,7,25,32,25,6,3,20,26
4,4,11/9/95,@,CLE,W,106,88,,41,79,0.519,9,15,0.6,32,64,0.5,0.576,15,19,0.789,12,31,43,32,5,5,19,21,34,82,0.415,1,11,0.091,33,71,0.465,0.421,19,23,0.826,9,25,34,27,9,1,12,18
5,5,11/11/95,,POR,W,110,106,,40,81,0.494,6,21,0.286,34,60,0.567,0.531,24,30,0.8,11,23,34,24,6,4,10,25,39,77,0.506,10,16,0.625,29,61,0.475,0.571,18,30,0.6,15,25,40,23,4,1,19,25
6,6,11/14/95,@,ORL,L,88,94,,35,89,0.393,8,21,0.381,27,68,0.397,0.438,10,19,0.526,19,25,44,24,8,2,20,32,30,65,0.462,9,20,0.45,21,45,0.467,0.531,25,34,0.735,7,31,38,13,9,8,24,23
7,7,11/15/95,,CLE,W,113,94,,43,77,0.558,8,12,0.667,35,65,0.538,0.61,19,25,0.76,13,22,35,30,10,3,14,20,35,70,0.5,10,18,0.556,25,52,0.481,0.571,14,21,0.667,11,22,33,22,9,2,22,25
8,8,11/17/95,,NJN,W,109,94,,45,87,0.517,4,10,0.4,41,77,0.532,0.54,15,17,0.882,13,24,37,31,11,5,18,23,34,76,0.447,1,7,0.143,33,69,0.478,0.454,25,32,0.781,11,24,35,20,10,5,23,22
9,9,11/21/95,@,DAL,W,108,102,OT,42,93,0.452,3,12,0.25,39,81,0.481,0.468,21,26,0.808,12,38,50,16,6,14,13,25,37,108,0.343,6,20,0.3,31,88,0.352,0.37,22,31,0.71,32,34,66,22,8,5,16,25
10,10,11/22/95,@,SAS,W,103,94,,41,92,0.446,1,8,0.125,40,84,0.476,0.451,20,28,0.714,17,34,51,23,8,1,12,34,32,77,0.416,3,11,0.273,29,66,0.439,0.435,27,39,0.692,11,31,42,20,8,10,16,22
11,11,11/24/95,@,UTA,W,90,85,,31,76,0.408,6,13,0.462,25,63,0.397,0.447,22,33,0.667,13,39,52,18,5,5,14,25,32,82,0.39,5,12,0.417,27,70,0.386,0.421,16,27,0.593,14,31,45,23,5,7,13,28
12,12,11/26/95,@,SEA,L,92,97,,32,74,0.432,3,18,0.167,29,56,0.518,0.453,25,43,0.581,15,29,44,25,11,3,15,32,36,64,0.563,5,15,0.333,31,49,0.633,0.602,20,34,0.588,5,27,32,23,7,3,16,30
13,13,11/27/95,@,POR,W,107,104,,45,82,0.549,3,10,0.3,42,72,0.583,0.567,14,18,0.778,4,22,26,28,12,1,12,24,40,76,0.526,9,19,0.474,31,57,0.544,0.586,15,26,0.577,10,25,35,18,7,3,20,18
14,14,11/30/95,@,VAN,W,94,88,,40,87,0.46,3,13,0.231,37,74,0.5,0.477,11,16,0.688,16,30,46,27,13,3,16,22,31,67,0.463,5,11,0.455,26,56,0.464,0.5,21,28,0.75,4,25,29,19,7,6,19,21
15,15,12/2/95,@,LAC,W,104,98,,39,83,0.47,2,12,0.167,37,71,0.521,0.482,24,29,0.828,14,32,46,19,14,3,18,23,38,81,0.469,8,19,0.421,30,62,0.484,0.519,14,23,0.609,13,25,38,22,14,6,22,25
16,16,12/6/95,,NYK,W,101,94,,37,84,0.44,5,12,0.417,32,72,0.444,0.47,22,27,0.815,16,32,48,28,8,2,9,22,36,73,0.493,5,15,0.333,31,58,0.534,0.527,17,27,0.63,8,31,39,17,8,6,15,25
17,17,12/8/95,,SAS,W,106,87,,42,80,0.525,7,14,0.5,35,66,0.53,0.569,15,19,0.789,12,34,46,23,7,3,11,25,32,74,0.432,2,15,0.133,30,59,0.508,0.446,21,27,0.778,10,23,33,14,5,3,11,20
18,18,12/9/95,@,MIL,W,118,106,,47,81,0.58,6,10,0.6,41,71,0.577,0.617,18,26,0.692,15,25,40,22,7,2,7,26,37,69,0.536,5,11,0.455,32,58,0.552,0.572,27,37,0.73,11,20,31,19,5,2,13,26
19,19,12/13/95,,ORL,W,112,103,,44,86,0.512,8,21,0.381,36,65,0.554,0.558,16,22,0.727,18,31,49,22,6,5,15,19,36,81,0.444,9,24,0.375,27,57,0.474,0.5,22,27,0.815,11,24,35,20,8,5,12,24
20,20,12/14/95,@,ATL,W,127,108,,50,84,0.595,9,17,0.529,41,67,0.612,0.649,18,24,0.75,13,26,39,29,6,7,14,21,44,94,0.468,7,23,0.304,37,71,0.521,0.505,13,18,0.722,18,21,39,22,10,4,16,24
21,21,12/16/95,,LAL,W,108,88,,39,90,0.433,6,14,0.429,33,76,0.434,0.467,24,32,0.75,22,35,57,24,11,7,15,18,35,82,0.427,3,14,0.214,32,68,0.471,0.445,15,22,0.682,11,25,36,15,9,8,18,29
22,22,12/18/95,@,BOS,W,123,114,,48,84,0.571,4,12,0.333,44,72,0.611,0.595,23,33,0.697,10,31,41,28,10,6,17,29,38,78,0.487,10,22,0.455,28,56,0.5,0.551,28,40,0.7,11,24,35,23,13,2,18,30
23,23,12/19/95,,DAL,W,114,101,,42,82,0.512,2,6,0.333,40,76,0.526,0.524,28,31,0.903,15,31,46,26,9,3,17,16,41,90,0.456,9,16,0.563,32,74,0.432,0.506,10,11,0.909,15,24,39,23,7,2,17,25
24,24,12/22/95,,TOR,W,113,104,,43,88,0.489,11,19,0.579,32,69,0.464,0.551,16,17,0.941,14,28,42,25,7,6,11,15,41,84,0.488,6,17,0.353,35,67,0.522,0.524,16,20,0.8,14,25,39,23,6,2,15,21
