,,,,,,,,,,,,,,,,,,,,,
Gtm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,41,96,0.427,9,30,0.3,32,66,0.485,0.474,20,22,0.909,21,35,56,29,8,7,20,29
2,43,93,0.462,9,26,0.346,34,67,0.507,0.511,17,25,0.68,11,36,47,26,9,4,8,24
3,46,84,0.548,17,30,0.567,29,54,0.537,0.649,25,35,0.714,3,35,38,26,10,4,10,24
4,43,84,0.512,11,25,0.44,32,59,0.542,0.577,22,30,0.733,10,55,65,32,8,13,14,15
5,39,85,0.459,10,26,0.385,29,59,0.492,0.518,24,31,0.774,9,33,42,28,6,5,12,22
6,46,93,0.495,17,37,0.459,29,56,0.518,0.586,10,18,0.556,13,40,53,40,10,6,20,22
7,38,92,0.413,8,39,0.205,30,53,0.566,0.457,19,22,0.864,15,31,46,27,13,2,18,15
8,43,91,0.473,12,21,0.571,31,70,0.443,0.538,11,13,0.846,13,28,41,29,13,4,16,18
9,36,75,0.48,11,27,0.407,25,48,0.521,0.553,17,23,0.739,7,29,36,22,12,8,23,30
10,48,89,0.539,18,38,0.474,30,51,0.588,0.64,15,16,0.938,6,27,33,34,8,7,11,25
11,43,97,0.443,12,34,0.353,31,63,0.492,0.505,9,10,0.9,11,39,50,31,9,10,15,19
12,43,80,0.538,11,29,0.379,32,51,0.627,0.606,18,27,0.667,9,25,34,31,10,6,20,29
13,38,73,0.521,17,30,0.567,21,43,0.488,0.637,31,36,0.861,8,36,44,31,4,4,19,20
14,39,79,0.494,10,29,0.345,29,50,0.58,0.557,18,24,0.75,11,38,49,20,7,6,16,15
15,47,89,0.528,15,29,0.517,32,60,0.533,0.612,9,13,0.692,11,35,46,35,15,8,21,25
16,45,92,0.489,12,35,0.343,33,57,0.579,0.554,9,15,0.6,12,36,48,32,9,6,8,13
17,46,81,0.568,22,38,0.579,24,43,0.558,0.704,21,31,0.677,11,42,53,32,7,9,24,26
18,39,80,0.488,16,30,0.533,23,50,0.46,0.588,26,31,0.839,13,35,48,32,8,7,16,19
19,40,82,0.488,14,29,0.483,26,53,0.491,0.573,12,15,0.8,14,31,45,21,2,5,15,19
20,46,88,0.523,16,34,0.471,30,54,0.556,0.614,8,11,0.727,11,42,53,31,2,9,21,23
21,35,73,0.479,16,30,0.533,19,43,0.442,0.589,26,36,0.722,8,35,43,22,2,5,12,24
22,44,86,0.512,14,33,0.424,30,53,0.566,0.593,12,23,0.522,10,36,46,25,9,9,12,18
23,52,95,0.547,16,35,0.457,36,60,0.6,0.632,11,15,0.733,10,36,46,29,10,6,15,19
24,42,107,0.393,9,31,0.29,33,76,0.434,0.435,31,39,0.795,17,50,67,28,10,11,18,22
25,36,89,0.404,6,27,0.222,30,62,0.484,0.438,17,25,0.68,15,34,49,23,9,8,17,20
26,46,88,0.523,15,32,0.469,31,56,0.554,0.608,21,27,0.778,9,40,49,32,12,4,17,17
27,42,87,0.483,9,26,0.346,33,61,0.541,0.534,28,37,0.757,15,31,46,31,7,4,15,22
28,39,83,0.47,9,23,0.391,30,60,0.5,0.524,16,16,1,9,31,40,26,10,9,16,11
29,32,78,0.41,5,18,0.278,27,60,0.45,0.442,20,27,0.741,8,41,49,21,7,10,16,19
30,43,89,0.483,20,42,0.476,23,47,0.489,0.596,16,24,0.667,13,46,59,33,12,8,18,25
