Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,417,1,10/27/15,GSW,,NOP,"W, 111-95",*,35:37:00,14,26,0.538,5,12,0.417,9,14,0.643,0.635,7,7,1,3,3,6,7,2,0,2,1,40,34.9,12
2,418,2,10/30/15,GSW,@,HOU,"W, 112-92",*,27:24:00,9,15,0.6,4,9,0.444,5,6,0.833,0.733,3,4,0.75,0,7,7,6,1,0,1,4,25,22.4,12
3,419,3,10/31/15,GSW,@,NOP,"W, 134-120",*,35:38:00,17,27,0.63,8,14,0.571,9,13,0.692,0.778,11,11,1,0,4,4,9,4,0,2,3,53,49.2,16
4,420,4,11/2/15,GSW,,MEM,"W, 119-69",*,28:24:00,10,16,0.625,4,8,0.5,6,8,0.75,0.75,6,6,1,1,2,3,3,3,1,3,2,30,26.1,37
5,421,5,11/4/15,GSW,,LAC,"W, 112-108",*,32:38:00,8,17,0.471,7,11,0.636,1,6,0.167,0.676,8,9,0.889,0,5,5,4,1,0,0,3,31,26,7
6,422,6,11/6/15,GSW,,DEN,"W, 119-104",*,34:39:00,12,22,0.545,8,16,0.5,4,6,0.667,0.727,2,3,0.667,0,7,7,10,3,1,4,1,34,31.4,14
7,423,7,11/7/15,GSW,@,SAC,"W, 103-94",*,39:08:00,8,18,0.444,2,10,0.2,6,8,0.75,0.5,6,7,0.857,1,5,6,3,2,0,6,1,24,14.1,6
8,424,8,11/9/15,GSW,,DET,"W, 109-95",*,36:50:00,7,18,0.389,3,7,0.429,4,11,0.364,0.472,5,6,0.833,1,4,5,5,3,0,5,1,22,14.8,12
9,425,9,11/11/15,GSW,@,MEM,"W, 100-84",*,34:30:00,9,21,0.429,3,10,0.3,6,11,0.545,0.5,7,7,1,0,5,5,5,5,1,4,1,28,23.2,16
10,426,10,11/12/15,GSW,@,MIN,"W, 129-116",*,37:42:00,15,25,0.6,8,13,0.615,7,12,0.583,0.76,8,8,1,0,5,5,4,2,0,3,3,46,36.6,21
11,427,11,11/14/15,GSW,,BRK,"W, 107-99 (OT)",*,43:44:00,13,31,0.419,5,16,0.313,8,15,0.533,0.5,3,3,1,0,3,3,6,1,0,4,1,34,19.2,3
12,428,12,11/17/15,GSW,,TOR,"W, 115-110",*,39:35:00,13,23,0.565,5,10,0.5,8,13,0.615,0.674,6,7,0.857,0,2,2,9,2,0,7,1,37,27.2,11
13,429,13,11/19/15,GSW,@,LAC,"W, 124-117",*,36:46:00,11,22,0.5,6,14,0.429,5,8,0.625,0.636,12,12,1,0,11,11,4,3,0,7,2,40,30.3,12
14,430,14,11/20/15,GSW,,CHI,"W, 106-94",*,36:05:00,9,20,0.45,3,11,0.273,6,9,0.667,0.525,6,6,1,1,4,5,4,4,0,6,2,27,18.5,11
15,431,15,11/22/15,GSW,@,DEN,"W, 118-105",*,27:37:00,8,16,0.5,3,8,0.375,5,8,0.625,0.594,0,0,,0,4,4,7,3,0,4,0,19,16.1,11
16,432,16,11/24/15,GSW,,LAL,"W, 111-77",*,30:10:00,10,21,0.476,4,12,0.333,6,9,0.667,0.571,0,0,,0,4,4,9,2,0,0,1,24,22.4,36
17,433,17,11/27/15,GSW,@,PHO,"W, 135-116",*,30:39:00,11,20,0.55,9,16,0.563,2,4,0.5,0.775,10,11,0.909,1,5,6,8,2,0,6,2,41,34,27
18,434,18,11/28/15,GSW,,SAC,"W, 120-101",*,29:48:00,4,7,0.571,3,6,0.5,1,1,1,0.786,8,8,1,0,4,4,6,3,0,1,1,19,22.7,19
19,435,19,11/30/15,GSW,@,UTA,"W, 106-103",*,37:16:00,9,20,0.45,4,8,0.5,5,12,0.417,0.55,4,4,1,2,4,6,5,2,0,2,2,26,20.9,12
20,436,20,12/2/15,GSW,@,CHO,"W, 116-99",*,30:49:00,14,18,0.778,8,11,0.727,6,7,0.857,1,4,4,1,0,3,3,5,0,0,5,2,40,31.6,19
21,437,21,12/5/15,GSW,@,TOR,"W, 112-109",*,37:51:00,14,24,0.583,9,15,0.6,5,9,0.556,0.771,7,9,0.778,1,1,2,7,0,0,3,4,44,33.3,15
22,438,22,12/6/15,GSW,@,BRK,"W, 114-98",*,32:14:00,11,17,0.647,5,9,0.556,6,8,0.75,0.794,1,4,0.25,0,5,5,2,1,0,4,2,28,18.4,10
23,439,23,12/8/15,GSW,@,IND,"W, 131-123",*,35:39:00,11,23,0.478,3,10,0.3,8,13,0.615,0.543,4,6,0.667,0,7,7,10,3,0,4,1,29,24.2,18
24,440,24,12/11/15,GSW,@,BOS,"W, 124-119 (2OT)",*,46:55:00,9,27,0.333,6,13,0.462,3,14,0.214,0.444,14,14,1,3,8,11,8,2,0,8,4,38,25.2,15
25,441,25,12/12/15,GSW,@,MIL,"L, 95-108",*,35:14:00,10,22,0.455,2,9,0.222,8,13,0.615,0.5,6,7,0.857,2,5,7,5,1,0,2,2,28,20.8,0
26,442,26,12/16/15,GSW,,PHO,"W, 128-103",*,29:35:00,10,14,0.714,2,5,0.4,8,9,0.889,0.786,3,5,0.6,0,2,2,7,1,0,3,4,25,20.3,37
27,443,27,12/18/15,GSW,,MIL,"W, 121-112",*,39:20:00,7,14,0.5,2,6,0.333,5,8,0.625,0.571,10,11,0.909,2,8,10,9,2,0,6,2,26,23.9,13
28,444,28,12/23/15,GSW,,UTA,"W, 103-85",*,34:13:00,5,14,0.357,2,8,0.25,3,6,0.5,0.429,4,4,1,1,4,5,9,3,0,3,2,16,15.6,21
29,445,29,12/25/15,GSW,,CLE,"W, 89-83",*,36:35:00,6,15,0.4,1,4,0.25,5,11,0.455,0.433,6,6,1,1,6,7,7,2,0,3,3,19,16.1,15
30,446,30,12/28/15,GSW,,SAC,"W, 122-103",*,30:22:00,7,16,0.438,6,13,0.462,1,3,0.333,0.625,3,4,0.75,0,14,14,10,2,0,2,3,23,24.2,24
